PIB Estadual - valor adicionado a preços constantes - var.(%)
Sigla,Código,Estado,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
MG,31,Minas Gerais,-2.1506979878,2.5253375805,-2.0939579433,4.2297129217,5.5474819339,3.1649823652,3.6916219769,2.9954154843,-0.2657602928,0.0815810721,5.1114478946,-0.1159895625,3.7311496399,1.3880848718,5.8669556736,3.961350233,3.885478117,5.6078172944,5.1801998883,-3.9663211882,8.91748529,
MS,50,Mato Grosso do Sul,0.5563154914,5.377813918,2.0229986273,7.9680569682,3.388272259,4.9600392888,2.1762207424,4.5429915134,2.7784103241,0.9224695715,2.4220127368,6.3045441996,2.943748562,7.6213857874,-1.2809309438,3.295744034,5.1643264996,6.9651035272,6.3578764679,0.4234938495,11.0060577283,
MT,51,Mato Grosso,1.4944242273,7.4732189574,11.1268235733,7.1259202039,11.8888284969,1.9510885022,2.8862213128,5.422275398,6.5417498588,7.6581603056,7.6362241462,6.7431589797,9.4212633486,4.2298492367,16.068042712,5.2264749096,-4.5771485816,11.343140743,8.5520690342,2.4475503527,3.6144413741,
PA,15,Pará,4.9795400498,-2.1320787608,3.4265163103,7.0244456837,-1.5975612391,0.0317414039,0.2764998361,2.9552756812,2.2579815852,1.8124169739,4.7029643563,3.497954762,3.6376466489,6.4309940835,7.2329632686,4.1847750108,7.0909510901,2.2402681554,4.9412851617,-3.2260498046,8.0099159367,
PB,25,Paraíba,2.8605882071,2.6033472603,-2.2004935073,-3.1365456142,12.9626075812,4.0093111539,2.6448107115,3.0643319448,-2.2899913249,2.7826457164,4.3728000641,0.8279060624,4.7671405188,5.2853546334,2.7814350792,3.9758497382,6.7002282849,2.2102211014,5.5242573506,1.640625427,10.2632915311,
PE,26,Pernambuco,14.7656660691,8.1266842503,8.1266842503,-5.0977201151,2.8541047688,2.8541047688,0.293140188,3.129261706,-0.3893400535,0.6528289973,4.3287522279,1.6397355065,4.1113568104,-0.6313143212,4.1021508352,4.1963194071,5.0966947774,5.4271924623,5.2529289286,2.8193087749,7.7017141012,
PI,22,Piauí,0.4945760518,4.555909944,-2.4017604589,5.3938427715,7.6408655187,1.9827757037,3.3608865098,1.2278469558,0.1597251223,1.5937577081,3.2068563964,2.0750978474,1.7454978587,5.392958118,6.293034379,4.5258690105,6.0499231497,2.0417383951,8.7918256119,6.1864580491,4.2067521837,
PR,41,Paraná,-0.0757871888,-0.032257103,-0.1324649795,10.0070234502,5.5128549386,1.7839985526,5.3582874566,1.5364192318,3.1964670304,0.500730817,5.3795916731,3.8265438065,1.9781436959,4.4697132298,5.0206964989,-0.0125924304,2.0078252939,6.7441104464,4.272847208,-1.3245206564,10.0060542958,
RJ,33,Rio de Janeiro,-4.1676180195,0.6346339337,-1.732214766,1.3570104868,2.3815772756,2.5367896176,0.9890398828,0.9530783042,0.7820068474,0.4418916083,2.5746961428,0.8737446919,3.8236423075,-1.1097255426,3.2189410144,2.9501632496,3.9716684382,3.6080815631,4.1474096955,1.959292763,4.4637162716,
RN,24,Rio Grande do Norte,-13.527150882,20.1066265888,20.1066265888,13.2062950322,6.9735782957,6.9735782957,2.7185558662,4.5505668366,0.9540637846,2.615284907,4.6359671983,1.9281087655,4.9326833487,1.4507811629,3.4632269954,3.9905396779,4.8239360753,2.5994905117,4.5493247503,1.5249312486,5.0723312315,
RO,11,Rondônia,-0.7972908265,3.7863655137,7.3324802867,2.0295595457,8.7841502611,3.3439589166,3.485898152,0.8972223433,-1.8602628263,5.5229284559,3.4628039594,4.3721820432,8.0842997877,5.628625248,9.466273778,4.4733244605,3.5646746621,5.1585800404,3.1617996524,7.3117118681,12.5696312665,
RR,14,Roraima,4.3140779006,6.7503109589,3.452414057,3.9820331809,3.5393739375,4.7350695616,3.5602807434,2.5041707052,-1.5411310523,5.4461623946,3.963650506,7.2989097816,8.0578229368,3.3663819086,5.5203823739,4.4367026039,6.2981287612,2.5889124567,7.6473083763,4.5869822929,9.6394914116,
RS,43,Rio Grande do Sul,5.1707574514,9.1198521309,9.1198521309,3.1014898346,4.2002194654,4.2002194654,-0.1964147959,5.8912671664,-0.8556982561,1.4027286473,4.3087215203,2.0202148088,1.7070584118,1.6492549217,3.3370231903,-2.8400173544,4.6749914368,6.5320343313,2.7399180412,-0.3609838994,6.6890954792,
SC,42,Santa Catarina,-2.4361753091,2.8066166022,3.5078450253,5.5828082093,3.3429382574,5.7742381824,3.595253491,4.5108666893,-0.0684001856,1.782478801,4.1822738198,3.1917973761,2.0320335613,1.0478830201,7.5373201735,1.5582349551,2.564886672,5.9961044633,2.9723197489,-0.0719670501,5.4058643748,
SE,28,Sergipe,1.5794694918,1.3739341535,-0.7349492708,4.4770610751,2.4040191435,1.0313577313,3.4175984573,7.0815631214,-0.0623469487,-0.5223514451,3.5337016366,0.8064413391,4.0069047452,2.6711694037,6.6254364501,5.6874633921,4.0833929306,6.2339327808,2.5905650007,4.440055291,5.3231205596,
SP,35,São Paulo,-5.3103331109,-0.4808052776,-2.5004791788,6.1830304543,5.9412577543,4.6778599735,1.2725436322,3.3819908572,-1.1952238847,-1.3386535424,4.2628419828,0.38395454,1.1716240535,-0.3570341496,6.0759379763,3.5426800934,3.9615269477,7.4064255086,5.8912359761,-0.7783578832,7.9415652805,
TO,17,Tocantins,-3.775417522,3.4331114479,3.7309082416,2.2445364129,2.6755149989,4.3443567101,2.2689711338,3.893665191,4.2355845122,2.9315541659,2.8624617326,0.7532960931,3.0049603281,10.4970508315,8.1833128201,7.3707344593,3.1255543958,4.6761561432,6.0829688422,3.8018183445,14.200832018,
