PIB Estadual a preços constantes
Sigla,Código,Estado,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
PB,25,Paraíba,16456709.8612092,16885135.1665124,16513578.8634714,15995622.9298818,18069072.760445,18793518.1100411,19290571.0900914,19881698.2223301,19426409.0577988,19966977.197305,20840093.1889817,21012629.5839054,22014331.1628649,23177866.635002,23822543.9482071,24769692.4994123,26429318.4423375,27013464.8155079,28505758.1312335,28973430.8472914,
PE,26,Pernambuco,50886814.3035233,55022225.0270075,59493707.5224424,56460884.8268376,58072337.63318,59729782.990915,59904874.9890418,61779455.3021031,61538923.1377635,61940667.0726144,64621925.0784965,65681553.7289993,68381956.7614034,67950251.6752688,70737673.4918628,73706052.2127196,77462624.7265027,81666670.4567394,85956562.6141804,88379943.5265428,
PI,22,Piauí,10733695.7422889,11222713.253966,10953170.5646127,11543967.3633584,12426026.3851094,12672406.6172037,13098311.8216655,13259139.0446314,13280317.2206896,13491973.3000544,13924641.5088245,14213591.4450341,14461689.3793564,15241602.2307401,16200761.4990367,16933986.7431935,17958479.9273439,18325145.1071921,19936259.9081457,21169608.2639151,
PR,41,Paraná,110069727.870636,110034222.565175,109888465.754783,120885030.291938,127549246.654418,129824723.368603,136781105.236405,138882636.442713,143321974.127547,144039631.419511,151788375.437324,157596624.116639,160714111.801596,167897571.718934,176327199.224023,176304995.344269,179844891.635134,191973829.759288,200176578.184344,197525198.057006,
RJ,33,Rio de Janeiro,277917370.31159,279681128.251197,274836450.449786,278566009.903924,285200274.693332,292435205.651203,295327506.466527,298142208.857139,300473701.34546,301801469.416888,309571940.208782,312276808.60382,324217156.774039,320619236.171827,330939780.264898,340703044.040576,354234639.308639,367015714.01954,382237359.326645,389726508.245603,
RN,24,Rio Grande do Norte,10615672.105077,12750125.6551387,15313745.8102232,17336124.2624076,18545072.4612942,19838327.6093852,20377643.6283579,21304941.9213836,21508204.656577,22070705.4867321,23093896.1535391,23539171.5895671,24700284.386978,25058631.460047,25926468.7494414,26961074.7719671,28261659.784188,28996318.9487215,30315455.6633365,30777745.519894,
RO,11,Rondônia,8911364.56733956,9248781.40211984,9926946.47519474,10128419.7649809,11018115.3762068,11386556.6277658,11783480.3948281,11889204.4137432,11668033.9636907,12312451.1317201,12738807.1770026,13295771.0169139,14370641.0050093,15179510.5329215,16616444.5581279,17359752.0370072,17978570.7192658,18906009.6799404,19503779.828279,20929840.0127175,
RR,14,Roraima,2499588.924839,2668318.94996108,2760440.36847527,2870362.01988683,2971954.86513155,3112678.99533407,3223499.10621019,3304221.02650966,3253298.6502346,3430478.57790763,3566450.7594177,3826762.78275309,4135116.55200056,4274320.36750635,4510279.19567629,4710386.87019607,5007053.10043383,5136681.32186614,5529499.18285557,5783136.33126058,
RS,43,Rio Grande do Sul,132519764.925644,144605371.531108,157793167.588115,162687106.640482,169520322.161307,176640547.730552,176293599.559276,186679526.506509,185082113.053714,187678312.874506,195764848.730179,199719719.194602,203129051.461232,206479167.33996,213369425.037282,207309696.337176,217001406.888641,231176013.286109,237510046.581114,236652673.553466,
SC,42,Santa Catarina,78987028.4699081,81203891.5245234,84052398.1937051,88744882.3801822,91711569.0047207,97007213.4398628,100494868.667607,105028058.222821,104956218.836109,106827041.18722,111294840.563232,114847146.364077,117180878.922415,118408797.455502,127333647.63331,129317805.040354,132634660.186326,140587572.965596,144766285.161404,144662101.136466,
SE,28,Sergipe,12752439.1850931,12927649.3024581,12832637.638182,13407162.6627843,13729473.4197961,13871073.4053724,14345130.9960842,15360990.5024188,15351413.3935478,15271225.0638436,15810864.5938477,15938369.9420044,16577005.2435231,17019805.1356345,18147441.5088269,19179570.6012381,19962747.8312877,21207212.1122954,21756598.7268972,22722603.7398068,
SP,35,São Paulo,729011518.493493,725506392.638225,707365256.349322,751101865.572248,795726763.403108,832949747.16695,843549396.134294,872078159.58729,861654873.130247,850120299.648185,886359584.686207,889762802.552699,900187477.566435,896973500.861097,951473054.437657,985180700.931257,1024208899.88257,1100066169.1047,1164873663.02039,1155806777.03452,
TO,17,Tocantins,6918218.53673977,7155728.68931521,7422702.36073241,7589307.61804223,7792360.68167524,8130888.62582438,8315376.14166201,8639149.04798674,9005067.50704824,9269055.93869553,9534379.11791264,9606201.22331252,9894863.7591089,10933532.6376147,11828257.8156437,12700087.2903905,13097035.4269625,13709473.2536575,14543416.2401058,15096330.5066436,
